Camino del Espinar,3
Carretera Particular de la Zarzuela,2
Avenida de la Pesadilla,1
Calle Enrique Casas,1
Calle de Valdemorillo,1
M-50,28
Calle de la Romería,1
Avenida de Burgos,3
M-301,6
Cañada de Matamuñoz,4
Carretera camino de la Warner,3
Avenida de Marsil,1
Avenida de la Berzosa,2
M-45,10
Calle Marañosa,3
Calle de Extremadura,1
Calle Bulgaria,1
Avenida del Pardo,3
Avenida de Aragón,1
Calle de Dionisio Inca Yupanqui,1
Calle del Camino Viejo de Villaverde,1
Calle de Algorta,1
Calle de la Dobla,1
Calle de Julio Cano Lasso,1
Camino Casero del Payo,1
Calle Itero de la Vega,1
Calle Poeta Rafael Morales,1
Calle Federico Carlos Sáinz de Robles,1
M-203,4
Carretera de Torrelaparada,2
Camino de la Moraleja,6
Carretera Particular del Chalet,4
Camino de Pesadilla,1
SV11,1
Avenida del Guadalix,1
Calle Pista,1
Carretera de Campo Real,3
Carretera Algete - Casar de Talamanca,3
Carretera de Boadilla a Brunete,1
Camino Viejo de Cobeña,1
Camino de Navalcarnero,2
Calle de Marbella,1
Avenida Vicente Ferrer,1
Calle del Trueno,1
Calle de Campotéjar,1
Avenida de Monteclaro,1
Calle de Altamirano,1
Calle Pavo Real,2
M-300,3
Cordel Segoviano,3
Carretera de Leganés a Fuenlabrada,1
Calle Alcalde Luis Egea,1
Avenida de la Estación,1
Calle de la Reguera,1
Vía de servicio Autovía de Colmenar,3
Paseo de John Lennon,3
Calle de la Rioja,1
Carretera de la Dehesa de la Villa,1
Calle de Agustín de Betancourt,1
Camino de la Fuente,1
Camino Carrasquilla,1
Calle de la Pinilla,1
Calle Isla de la Toja,1
Calle del Verano,1
Carretera M-841 (Ramal de Enlace de A4-Pinto a M-506),1
Calle del Valle del Jerte,1
M-110,4
Calle de Valportillo Primera,1
London Bridge,1
Calle Helsinki,1
Avenida Paz,1
Avenida de la Victoria,1
Calle Playa de Algeciras,1
Avenida Aurora Boreal,1
Ronda de las Cooperativas,1
Calle de la Duquesa de Parcent,1
Calle de Antares,1
Avenida Alcalde de Móstoles,1
Calle del Granado,1
Calle de Mariblanca,1
Calle de Sofía,1
Calle Ocho Mercamadrid,1
Calle de Ayala,1
Camino de Valdeza,1
enlace con M-40,1
Calle XX,1
Camino del Esparragal,1
Calle de los Morales,1
Calle de las Acacias,1
